ลำดับที่,ภาษาอังกฤษ,คำทับศัพท์ภาษาไทย,หมายเหตุ
1,Abnormal,แอ็บนอร์มัล,
2,ABS,เอบีเอส,
3,absolute,แอบโซลูต,
4,absolute majority,แอบโซลูตมาจอริตี,
5,absorb,แอ็บซอร์บ,
6,academy,อะคาเดมี,
7,account,แอ็กเคานต์,
8,accountability,แอกเคาน์ทาบิลิตี,
9,accounting,แอ็กเคาน์ติง,
10,Accounting Separation,แอ็กเคาน์ติงเซพาเรชัน,
11,acetaldehyde,แอซีทัลดีไฮด์,
12,AC Nielsen,เอซีนีลเซ็น,
13,across,อะครอส,
14,act,แอกต์,
15,active,แอ็กทีฟ,คำตามหลักนิยม
16,ACTWG,เอซีทีดับเบิลยูจี,
17,Addiction psychiatry,แอดดิกไซไคอาทรี,
18,add on,แอดออน,
19,adequate power,แอดิเควตพาวเวอร์,
20,administration,บิซิเนสแอดมินิสเตรชัน,
21,admit,แอดมิต,
22,Ads Won't Cure,แอดส์โวนต์เคียวร์,
23,Advanced Institute,แอดวานซด์อินสติทิวต์,
24,Advanced Research Projects Agency Network,แอดวานซ์รีเซิร์ชโพรเจ็กต์เอเจนซีเน็ตเวิร์ก,
25,affairs,แอฟแฟส์,
26,Affairs,แอฟแฟส,
27,Against,อะเก็นสต์,
28,agency,เอเจนซี,
29,agent,เอเยนต์,
30,aging society,เอจจิงโซไซตี,
31,Agricultural,อะกรีคัลเชอรัล,
32,AI,เอไอ,
33,Aids,เอดส์,พจนานุกรม
34,AIMAG,ไอแมก,
35,airbus,แอร์บัส,
36,Alaska,อะแลสกา,
37,Albert,แอลเบิร์ต,
38,Alert,อะเลิร์ต,
39,algorithm,แอลกอริทึม,
40,algorithm,อัลกอริทึม,
41,Alien,เอเลียน,
42,alliance,อัลไลอันซ์,
43,All Singaporean is a swimmer,ออลสิงคโปเรียนอีสอะสวิมเมอร์,
44,All Thailand,ออลไทยแลนด์,
45,alone,อะโลน,
46,ALTV,เอแอลทีวี,
47,Alzheimer,อัลไซเมอร์,
48,AM,เอเอ็ม,
49,A-MED Home Ward Care,เอ-เมดโฮมวอร์ดแคร์,
50,amicus curiae,แอมิคัสคิวรีไอ,
51,amphetamine,แอมเฟทามีน,
52,amphibian,แอมฟิเบียน,
53,analog,แอนะล็อก,
54,Analysis,แอนะไลซิส,
55,analytics,แอนาไลติกส์,
56,Android,แอนดรอยด์,
57,another,อะนาเทอร์,
58,Antarctic,แอนตาร์กติก,
59,anti,แอนตี,
60,antibody,แอนติบอดี,
61,Anti-Corruption and Transparency Expert Working Group,แอนไท-คอร์รัปชันแอนด์ทรานสแปเรนซีเอ็กซ์เปิร์ตเวิร์กกิงกรุป,
62,Anti-SLAPP Law,แอนไท-สแลปป์ลอว์,
63,anywhere anytime,เอนีแวร์เอนีไทม์,
64,AOC,เอโอซี,
65,apartment,อะพาร์ตเมนต์,
66,APEC,เอเปก,
67,Apollo,อะพอลโล,
68,Apostille,อะพอสติลล์,
69,App,แอป,
70,application,แอปพลิเคชัน,
71,application Agri-Map,แอปพลิเคชันอะกรีแม็ป,
72,application C-SITE,แอปพลิเคชันซีไซต์,
73,application LINE,แอปพลิเคชันไลน์,
