incorrect_word,correct_word,note,type
Abnormal,แอ็บนอร์มัล,คำทับศัพท์ทางการวุฒิสภา,transliteration
ABS,เอบีเอส,คำทับศัพท์ทางการวุฒิสภา,transliteration
absolute,แอบโซลูต,คำทับศัพท์ทางการวุฒิสภา,transliteration
absolute majority,แอบโซลูตมาจอริตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
absorb,แอ็บซอร์บ,คำทับศัพท์ทางการวุฒิสภา,transliteration
academy,อะคาเดมี,คำทับศัพท์ทางการวุฒิสภา,transliteration
account,แอ็กเคานต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
accountability,แอกเคาน์ทาบิลิตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
accounting,แอ็กเคาน์ติง,คำทับศัพท์ทางการวุฒิสภา,transliteration
Accounting Separation,แอ็กเคาน์ติงเซพาเรชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
acetaldehyde,แอซีทัลดีไฮด์,คำทับศัพท์ทางการวุฒิสภา,transliteration
AC Nielsen,เอซีนีลเซ็น,คำทับศัพท์ทางการวุฒิสภา,transliteration
across,อะครอส,คำทับศัพท์ทางการวุฒิสภา,transliteration
act,แอกต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
active,แอ็กทีฟ,คำทับศัพท์ทางการวุฒิสภา (คำตามหลักนิยม),transliteration
ACTWG,เอซีทีดับเบิลยูจี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Addiction psychiatry,แอดดิกไซไคอาทรี,คำทับศัพท์ทางการวุฒิสภา,transliteration
add on,แอดออน,คำทับศัพท์ทางการวุฒิสภา,transliteration
adequate power,แอดิเควตพาวเวอร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
administration,บิซิเนสแอดมินิสเตรชัน,คำทับศัพท์ทางการวุฒิสภา,transliteration
admit,แอดมิต,คำทับศัพท์ทางการวุฒิสภา,transliteration
Ads Won't Cure,แอดส์โวนต์เคียวร์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Advanced Institute,แอดวานซด์อินสติทิวต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Advanced Research Projects Agency Network,แอดวานซ์รีเซิร์ชโพรเจ็กต์เอเจนซีเน็ตเวิร์ก,คำทับศัพท์ทางการวุฒิสภา,transliteration
affairs,แอฟแฟส์,คำทับศัพท์ทางการวุฒิสภา,transliteration
Affairs,แอฟแฟส,คำทับศัพท์ทางการวุฒิสภา,transliteration
Against,อะเก็นสต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
agency,เอเจนซี,คำทับศัพท์ทางการวุฒิสภา,transliteration
agent,เอเยนต์,คำทับศัพท์ทางการวุฒิสภา,transliteration
aging society,เอจจิงโซไซตี,คำทับศัพท์ทางการวุฒิสภา,transliteration
Agricultural,อะกรีคัลเชอรัล,คำทับศัพท์ทางการวุฒิสภา,transliteration
AI,เอไอ,คำทับศัพท์ทางการวุฒิสภา,transliteration
Aids,เอดส์,คำทับศัพท์ทางการวุฒิสภา (พจนานุกรม),transliteration
AIMAG,ไอแมก,คำทับศัพท์ทางการวุฒิสภา,transliteration
airbus,แอร์บัส,คำทับศัพท์ทางการวุฒิสภา,transliteration
Alaska,อะแลสกา,คำทับศัพท์ทางการวุฒิสภา,transliteration
Albert,แอลเบิร์ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
Alert,อะเลิร์ต,คำทับศัพท์ทางการวุฒิสภา,transliteration
